fascia,frequenza,dna_storico,stato_zona,antidoto_suggerito
"(20, 30]",0,,VUOTA,N/A
"(30, 40]",0,,VUOTA,N/A
"(40, 50]",1,8.0,VALLE (TRANSIZIONE),BILANCIARE_CON_ALTI
"(50, 60]",0,,VUOTA,N/A
"(60, 70]",1,10.5,VALLE (TRANSIZIONE),BILANCIARE_CON_ALTI
"(70, 80]",0,,VUOTA,N/A
"(80, 90]",4,14.0,VALLE (TRANSIZIONE),BILANCIARE_CON_ALTI
"(90, 100]",7,15.714285714285714,VALLE (TRANSIZIONE),BILANCIARE_CON_ALTI
"(100, 110]",7,17.190476190476193,VALLE (TRANSIZIONE),BILANCIARE_CON_ALTI
"(110, 120]",20,19.458333333333336,VALLE (TRANSIZIONE),BILANCIARE_CON_ALTI
"(120, 130]",30,20.9,VALLE (TRANSIZIONE),BILANCIARE_CON_ALTI
"(130, 140]",35,22.623809523809523,VALLE (TRANSIZIONE),BILANCIARE_CON_ALTI
"(140, 150]",48,24.21875,VALLE (TRANSIZIONE),BILANCIARE_CON_ALTI
"(150, 160]",76,25.99122807017544,VALLE (TRANSIZIONE),BILANCIARE_CON_ALTI
"(160, 170]",91,27.5970695970696,VALLE (TRANSIZIONE),BILANCIARE_CON_ALTI
"(170, 180]",154,29.284632034632033,SATURA,BILANCIARE_CON_ALTI
"(180, 190]",136,30.884803921568626,SATURA,BILANCIARE_CON_ALTI
"(190, 200]",220,32.63409090909091,SATURA,BILANCIARE_CON_ALTI
"(200, 210]",262,34.24173027989822,SATURA,BILANCIARE_CON_ALTI
"(210, 220]",289,35.92560553633218,SATURA,BILANCIARE_CON_ALTI
"(220, 230]",336,37.614087301587304,SATURA,BILANCIARE_CON_ALTI
"(230, 240]",358,39.27653631284916,SATURA,BILANCIARE_CON_ALTI
"(240, 250]",429,40.90792540792541,SATURA,BILANCIARE_CON_ALTI
"(250, 260]",418,42.63556618819777,SATURA,BILANCIARE_CON_ALTI
"(260, 270]",432,44.263888888888886,SATURA,BILANCIARE_CON_ALTI
"(270, 280]",493,45.88235294117647,SATURA,BILANCIARE_CON_BASSI
"(280, 290]",460,47.618840579710145,SATURA,BILANCIARE_CON_BASSI
"(290, 300]",440,49.26401515151515,SATURA,BILANCIARE_CON_BASSI
"(300, 310]",462,50.93614718614719,SATURA,BILANCIARE_CON_BASSI
"(310, 320]",390,52.58076923076923,SATURA,BILANCIARE_CON_BASSI
"(320, 330]",345,54.25603864734299,SATURA,BILANCIARE_CON_BASSI
"(330, 340]",300,55.905,SATURA,BILANCIARE_CON_BASSI
"(340, 350]",243,57.5761316872428,SATURA,BILANCIARE_CON_BASSI
"(350, 360]",210,59.20873015873016,SATURA,BILANCIARE_CON_BASSI
"(360, 370]",152,60.8640350877193,SATURA,BILANCIARE_CON_BASSI
"(370, 380]",115,62.608695652173914,SATURA,BILANCIARE_CON_BASSI
"(380, 390]",105,64.17301587301587,SATURA,BILANCIARE_CON_BASSI
"(390, 400]",74,65.84684684684684,VALLE (TRANSIZIONE),BILANCIARE_CON_BASSI
"(400, 410]",53,67.5125786163522,VALLE (TRANSIZIONE),BILANCIARE_CON_BASSI
"(410, 420]",44,69.14772727272727,VALLE (TRANSIZIONE),BILANCIARE_CON_BASSI
"(420, 430]",30,70.83888888888889,VALLE (TRANSIZIONE),BILANCIARE_CON_BASSI
"(430, 440]",18,72.55555555555556,VALLE (TRANSIZIONE),BILANCIARE_CON_BASSI
"(440, 450]",17,74.22549019607843,VALLE (TRANSIZIONE),BILANCIARE_CON_BASSI
"(450, 460]",4,75.79166666666667,VALLE (TRANSIZIONE),BILANCIARE_CON_BASSI
"(460, 470]",2,78.08333333333333,VALLE (TRANSIZIONE),BILANCIARE_CON_BASSI
"(470, 480]",0,,VUOTA,N/A
"(480, 490]",0,,VUOTA,N/A
"(490, 500]",0,,VUOTA,N/A
"(500, 510]",0,,VUOTA,N/A
"(510, 520]",0,,VUOTA,N/A
"(520, 530]",0,,VUOTA,N/A
